Córdoba,Carlos Córdoba,sin datos,https://blogger.googleusercontent.com/img/a/AVvXsEjChc3qYnkgbOcjZgT6AdPUoy81_6aYywvH0VS6XR2J3fSNA3XpbOAbTK40ZxYrMOZD6p3JdlXdGC0QHhJ3puHx7wv-O5p2k5ni4F24fRUubEqNZLfGGx-ZJ1clZJ94whrU24HDrfY4xpVW7kjQNc4crXjqIcebxIVC0ZetRcOWfXqRREHbD6gOodQ5GzDb=w107-h143
Cunha,Andrés Cunha (Uruguay),sin datos,https://blogger.googleusercontent.com/img/a/AVvXsEg8GCdNZy8ybvB1oaATjw7rYSCsanFdAOvogUO3zBCr4dnybZRBZ9HYy34bZGP2vf82YNdlh-6LgVtVWncwVwAmPuj6F6wMfYl1zRnZ8n-k0bo88Q_Utw-ypMlXEHR78gElIXaBjd6RxObI7ebZ4RtxpEBsrSWl0W6AAwy98jH6l5EPtk6jIY-xgYT0wZlX=w103-h136
Daronco,Anderson Daronco (Brasil),sin datos,https://blogger.googleusercontent.com/img/a/AVvXsEhgI-ruLiXKQak9-cY_YEKfJ6SOiBWmL3ygsOvWTiJrdG2KM4tKD375_6Vt2GdphiUZ1hAFePDK85cgU1_SMENwBNBlGj3V64rNvNPt-aS3h3Res4oR0fHeuhJuW0QGQ-qkVuSuCGvh-vKfgZgQCSYjQdN-6N9J6R4OXqqkn-oHeOf3cGnyU6ru7Rdx6D3b
Delfino,Germán Delfino,"condujo el desempate de 2014 en Mendoza, ante Atl. Tucumán, por un ascenso a primera.  Ese día ganó Huracán 4-1 en tiempo extra, siendo expulsados Leo Díaz y Calviño en el equipo tucumano.",https://blogger.googleusercontent.com/img/a/AVvXsEjws49c-DTxLpDiQwKt_zgX7jATacvmR_AaXTbRdsvPsfgKpJ78nuPU5HGK0KIcAPHa9AglGHqGvNgE52xM59yx8RY1wblIhqUEZQLPr10QIsmV4U43o7AGMkd5teV0gk7L4NwEaORu1PuTkQ0EUNj6OpsVPtEcpvPsksHVtEjLJPmmtnPDwuNV67pRSEFG
Díaz,Pablo Díaz,sin datos,https://blogger.googleusercontent.com/img/a/AVvXsEhuG6NTrVOZ9s5i4HIqP0KWFSEUl82pqF3l_vHm3FqoMn4OkS_ndsn_fBaESgXWT3HTYqMJOHFh0K28yALnuoYnlvHa5lyyz_XRZ3kc2xUWGI7ZC5SAqPsxE7t3x5gDaxnrN_etkGyq3F9BSBSSB0EKU5_JcCmwewOGw-QzsCMawNCFFj24rjtm_N9l-Lbc=w104-h138
Díaz de Vivar,Mario Díaz de Vivar (Paraguay),sin datos,https://blogger.googleusercontent.com/img/a/AVvXsEjYoIEIeQh2cQwtIp8KywoOXgFm1HKAZegpVsrmUiR0_EUk3KU9f6UB6ipe_eICwaweE0dNmLs5uQ0cZvNxNOh-z9xccTySL_zbrs5Ms9N8hfkyB874ME5a0R3xhQOJ9BrPGTAM__vhkavNwFo-tpAHS_gEc9w3XiB4-qWv3-De2GEeqSNYW6g3q0V3ykrQ=w104-h139
Dóvalo,Pablo Dóvalo,sin datos,https://blogger.googleusercontent.com/img/a/AVvXsEgOJiekybTSjSsXnTm-pXIuhpohRcFX5aGm5Kj3CItWDFVaGJDBb95Mn4bU4o-y1erzVqcqqDBeBNmmDHH4ujpW2V_ZPhEZeaybaX2xvoH816ncVq-tioSyEE6GLhM3uxG1elAi9yqsWbnq3hBLV7YNaIp6PHCXd2IJEFk2-S8FfdPaCP1Mx9_C3Ma1xPiP
Echavarría,Pablo Echavarría,sin datos,https://blogger.googleusercontent.com/img/a/AVvXsEgid8XKFpBccsWXQtUf02TsPce0iS2jV8fjFY3Xm8aoX1c0Am2yhRNUx_hRpMwB6wfovzLLUtQ97M2pG-_Y_IXFWh6SWdlUycKpl5gPiuJRAF5GsCPconK8qJnapCdAqCuYMDAlASDEuFYTLczzLBsuIjRnB0zHbjtk9SxYvubzaIAhpPAnJBjzTMhCeKTq
Echenique,Fernando Echenique,"árbitro el clásico con San Lorenzo de 2021, en el Ducó, cuando se les ganó 2-1.",https://blogger.googleusercontent.com/img/a/AVvXsEg0ubW9CuxHjYXoS9JgXTYhhAZlCd5f0PDzy9yHkE1oBzp5WxlDjUFIcWMwXKzihUx9xCyk2IFrn_o4JolNBAfmrLICZIt7mM3Ax77QZc0WxMgqgMVWaJwQSdhJUh3ew25bJblIHuzpYjxkExpO2ajLEP8vrJnxZygBWPtHKDmt7HRAg88twcn1Gop4x71q
Espinoza F,Fernando Espinoza,"arbitró el clasico con San Lorenzo en 2019, cuando se les ganó 2-0 en el Ducó.",https://blogger.googleusercontent.com/img/a/AVvXsEgB8ivoZv_8ziY_-Xq_wkjayaceFw2ACAajmR0IEvFR6-mAXEd-8ky68WUheHTNvBUV3MOl5R3-yhEEMeSweAUiEDeaTK11AqiorfW7FlR0TylB4zTLw3nH518PXVbuMrsSZy_81SMUeVhIrhxXgL40Vp1Ohum68Ar_XQQz27zfnHZyGkPhZMmQAhU5ZLWr
